,Name,Date,Departure,Arrival,Source,Destination,Stops,Duration,Price
0,Go First,19 May,02:40,04:55,New Delhi,Mumbai,Non Stop,2h 15m,"2,410"
1,Air India,19 May,07:00,09:05,New Delhi,Mumbai,Non Stop,2h 05m,"2,476"
2,Air India,19 May,13:00,15:10,New Delhi,Mumbai,Non Stop,2h 10m,"2,476"
3,Air India,19 May,09:00,11:15,New Delhi,Mumbai,Non Stop,2h 15m,"2,476"
4,Air India,19 May,17:50,21:35,New Delhi,Mumbai,1 Stop,3h 45m,"2,476"
5,Go First,19 May,20:50,23:20,New Delhi,Mumbai,Non Stop,2h 30m,"2,790"
6,Air India,19 May,14:30,18:00,New Delhi,Mumbai,1 Stop,3h 30m,"2,791"
7,Air Asia,19 May,04:25,06:35,New Delhi,Mumbai,Non Stop,2h 10m,"3,000"
8,Air Asia,19 May,20:00,22:15,New Delhi,Mumbai,Non Stop,2h 15m,"3,000"
9,SpiceJet,13 Mar,19:45,01:00 + 1 day,New Delhi,Goa,1 Stop,5h 15m,"3,463"
10,SpiceJet,13 Mar,07:20,01:00 + 1 day,New Delhi,Goa,1 Stop,17h 40m,"3,463"
11,Air Asia,13 Mar,20:45,07:00 + 1 day,New Delhi,Goa,1 Stop,10h 15m,"3,706"
12,Air Asia,13 Mar,08:00,22:00,New Delhi,Goa,1 Stop,14h 00m,"3,706"
13,Go First,13 Mar,22:30,06:10 + 1 day,New Delhi,Goa,1 Stop,7h 40m,"3,894"
14,Air India,13 Mar,10:40,22:25,New Delhi,Goa,1 Stop,11h 45m,"3,988"
15,Air India,13 Mar,09:00,22:25,New Delhi,Goa,1 Stop,13h 25m,"3,988"
16,Air India,13 Mar,08:00,22:25,New Delhi,Goa,1 Stop,14h 25m,"3,988"
17,Air India,13 Mar,07:00,22:25,New Delhi,Goa,1 Stop,15h 25m,"3,988"
18,SpiceJet,13 Mar,06:20,17:05,New Delhi,Goa,1 Stop,10h 45m,"3,991"
19,Air Asia,8 Mar,09:35,15:05,New Delhi,Chennai,1 Stop,5h 30m,"1,998"
20,Air Asia,8 Mar,08:00,13:45,New Delhi,Chennai,1 Stop,5h 45m,"1,998"
21,Air Asia,8 Mar,15:30,21:25,New Delhi,Chennai,1 Stop,5h 55m,"1,998"
22,Air Asia,8 Mar,16:50,23:15,New Delhi,Chennai,1 Stop,6h 25m,"1,998"
23,Air Asia,8 Mar,08:00,15:05,New Delhi,Chennai,1 Stop,7h 05m,"1,998"
24,Air Asia,8 Mar,09:35,17:25,New Delhi,Chennai,1 Stop,7h 50m,"1,998"
25,Air Asia,8 Mar,08:00,17:25,New Delhi,Chennai,1 Stop,9h 25m,"1,998"
26,Air Asia,8 Mar,11:55,21:25,New Delhi,Chennai,1 Stop,9h 30m,"1,998"
27,SpiceJet,8 Mar,05:45,08:40,New Delhi,Chennai,Non Stop,2h 55m,"2,336"
28,SpiceJet,8 Mar,05:45,08:40,New Delhi,Chennai,Non Stop,2h 55m,"2,336"
29,Air Asia,10 Mar,16:15,23:15,New Delhi,Bangalore,2 Stop(s),7h 00m,"3,177"
30,Air Asia,10 Mar,15:25,20:50,New Delhi,Bangalore,1 Stop,5h 25m,"4,000"
31,Air Asia,10 Mar,08:20,14:40,New Delhi,Bangalore,1 Stop,6h 20m,"4,000"
32,Air Asia,10 Mar,06:20,13:45,New Delhi,Bangalore,1 Stop,7h 25m,"4,000"
33,Air Asia,10 Mar,11:55,19:20,New Delhi,Bangalore,1 Stop,7h 25m,"4,000"
34,Air Asia,10 Mar,16:50,00:20 + 1 day,New Delhi,Bangalore,1 Stop,7h 30m,"4,000"
35,Air Asia,10 Mar,04:45,12:20,New Delhi,Bangalore,1 Stop,7h 35m,"4,000"
36,Air Asia,10 Mar,15:30,23:30,New Delhi,Bangalore,2 Stop(s),8h 00m,"4,000"
37,Go First,10 Mar,02:00,07:40,New Delhi,Bangalore,1 Stop,5h 40m,"4,020"
38,Go First,10 Mar,08:00,16:10,New Delhi,Bangalore,1 Stop,8h 10m,"4,020"
39,Air Asia,10 Mar,08:00,15:35,New Delhi,Hyderabad,1 Stop,7h 35m,"2,050"
40,Air Asia,10 Mar,08:00,17:45,New Delhi,Hyderabad,1 Stop,9h 45m,"2,050"
41,Air Asia,10 Mar,09:35,15:35,New Delhi,Hyderabad,1 Stop,6h 00m,"2,465"
42,Air Asia,10 Mar,09:35,17:45,New Delhi,Hyderabad,1 Stop,8h 10m,"2,465"
43,Air Asia,10 Mar,21:00,06:45 + 1 day,New Delhi,Hyderabad,1 Stop,9h 45m,"2,465"
44,Air India,10 Mar,09:45,11:55,New Delhi,Hyderabad,Non Stop,2h 10m,"3,015"
45,Air India,10 Mar,21:25,23:35,New Delhi,Hyderabad,Non Stop,2h 10m,"3,015"
46,Air India,10 Mar,08:10,10:30,New Delhi,Hyderabad,Non Stop,2h 20m,"3,015"
47,IndiGo,10 Mar,06:45,09:00,New Delhi,Hyderabad,Non Stop,2h 15m,"3,200"
